Date,Open,High,Low,Close,Adj Close,Volume
2013-04-02,39.773335,39.926666,39.540001,39.746666,37.022648,807400
2013-04-03,39.653332,39.653332,38.773335,38.886665,36.377171,1053100
2013-04-04,39.006668,39.346668,38.926666,39.313332,36.776299,860100
2013-04-05,38.806667,38.860001,38.459999,38.759998,36.258671,847300
2013-04-08,38.786667,38.919998,38.473331,38.913334,36.402134,780400
2013-04-09,39.000000,39.113335,38.793335,38.906666,36.395889,784200
2013-04-10,39.093334,40.006668,38.826668,39.986668,37.406185,1174600
2013-04-11,39.973331,40.020000,39.720001,39.886665,37.312649,716800
2013-04-12,39.700001,39.799999,39.586666,39.746666,37.181675,610500
2013-04-15,39.680000,39.720001,38.826668,38.826668,36.321056,712200
2013-04-16,39.060001,39.680000,39.053333,39.633335,37.075661,763600
2013-04-17,39.380001,39.493332,38.900002,39.026669,36.508148,777600
2013-04-18,39.086666,39.259998,38.786667,39.113335,36.589222,1164900
2013-04-19,39.193333,39.553333,39.026669,39.533333,36.982101,681700
2013-04-22,39.553333,39.626667,39.040001,39.500000,36.950928,541000
2013-04-23,39.573334,40.186668,39.426666,40.073334,37.487267,764500
2013-04-24,40.286667,40.713333,39.813332,40.446667,37.836506,890200
2013-04-25,40.619999,41.160000,40.299999,40.946667,38.304237,1007100
2013-04-26,40.966667,41.119999,40.633335,40.873333,38.235634,590800
2013-04-29,40.933334,41.320000,40.753334,41.266666,38.603577,543700
2013-04-30,41.153332,41.520000,41.020000,41.380001,38.709610,944500
2013-05-01,40.826668,41.433334,40.826668,40.873333,38.235634,689200
2013-05-02,41.040001,41.500000,40.566666,41.486668,38.809399,675100
2013-05-03,41.933334,42.006668,41.706665,41.753334,39.058842,859800
2013-05-06,41.733334,42.106667,41.713333,42.000000,39.289593,518500
2013-05-07,41.993332,42.373333,41.959999,42.353333,39.620129,620100
2013-05-08,42.286667,42.799999,42.273335,42.799999,40.037975,1023900
2013-05-09,42.806667,42.853333,42.526669,42.713333,39.956902,870900
2013-05-10,42.720001,42.833332,42.480000,42.799999,40.037975,659700
2013-05-13,42.706665,42.893333,42.520000,42.786667,40.025494,532500
2013-05-14,42.766666,43.259998,42.593334,43.259998,40.468273,1104000
2013-05-15,43.180000,43.660000,43.026669,43.580002,40.767635,712600
2013-05-16,43.473331,43.506668,42.933334,43.040001,40.262486,862500
2013-05-17,43.119999,43.413334,43.119999,43.240002,40.449570,1062400
2013-05-20,43.160000,43.446667,42.986668,43.446667,40.642895,688200
2013-05-21,43.439999,43.553333,43.200001,43.446667,40.642895,678700
2013-05-22,43.233334,43.686668,42.813332,42.959999,40.187645,1000500
2013-05-23,42.466667,43.026669,42.373333,42.893333,40.125282,806500
2013-05-24,42.700001,42.873333,42.286667,42.840000,40.075386,356800
2013-05-28,43.246666,43.586666,42.913334,43.119999,40.337318,896500
2013-05-29,42.873333,43.246666,42.706665,43.060001,40.281189,568900
2013-05-30,43.093334,43.759998,43.073334,43.593334,40.780106,627900
